primaryindex,emt_situac,emt_linha,emt_empres,emt_nome
"1",OPERANDO,AZUL,METRO,SÉ
"2",OPERANDO,VERMELHA,METRO,CORINTHIANS-ITAQUERA
"3",OPERANDO,VERMELHA,METRO,ARTUR ALVIM
"4",OPERANDO,VERMELHA,METRO,PATRIARCA
"5",OPERANDO,VERMELHA,METRO,GUILHERMINA-ESPERANÇA
"6",OPERANDO,VERMELHA,METRO,VILA MATILDE
"7",OPERANDO,VERMELHA,METRO,PENHA
"8",OPERANDO,VERMELHA,METRO,CARRÃO
"9",OPERANDO,VERMELHA,METRO,TATUAPÉ
"10",OPERANDO,VERMELHA,METRO,BELÉM
"11",OPERANDO,VERMELHA,METRO,BRESSER-MOOCA
"12",OPERANDO,VERMELHA,METRO,BRÁS
"13",OPERANDO,VERMELHA,METRO,PEDRO II
"14",OPERANDO,VERMELHA,METRO,SÉ
"15",OPERANDO,VERMELHA,METRO,ANHANGABAÚ
"16",OPERANDO,VERMELHA,METRO,REPÚBLICA
"17",OPERANDO,VERMELHA,METRO,SANTA CECÍLIA
"18",OPERANDO,VERMELHA,METRO,MARECHAL DEODORO
"19",OPERANDO,VERMELHA,METRO,PALMEIRAS-BARRA FUNDA
"20",OPERANDO,VERDE,METRO,VILA MADALENA
"21",OPERANDO,VERDE,METRO,SANTUÁRIO NOSSA SENHORA DE FÁTIMA-SUMARÉ
"22",OPERANDO,VERDE,METRO,CLÍNICAS
"23",OPERANDO,VERDE,METRO,CONSOLAÇÃO
"24",OPERANDO,VERDE,METRO,TRIANON-MASP
"25",OPERANDO,VERDE,METRO,BRIGADEIRO
"26",OPERANDO,VERDE,METRO,PARAÍSO
"27",OPERANDO,VERDE,METRO,ANA ROSA
"28",OPERANDO,VERDE,METRO,CHÁCARA KLABIN
"29",OPERANDO,VERDE,METRO,SANTOS-IMIGRANTES
"30",OPERANDO,VERDE,METRO,ALTO DO IPIRANGA
"31",OPERANDO,VERDE,METRO,SACOMÃ
"32",OPERANDO,VERDE,METRO,TAMANDUATEÍ
"33",OPERANDO,VERDE,METRO,VILA PRUDENTE
"34",OPERANDO,AZUL,METRO,VILA MARIANA
"35",OPERANDO,AZUL,METRO,TUCURUVI
"36",OPERANDO,AZUL,METRO,PARADA INGLESA
"37",OPERANDO,AZUL,METRO,AYRTON SENNA-JARDIM SÃO PAULO
"38",OPERANDO,AZUL,METRO,SANTANA
"39",OPERANDO,AZUL,METRO,CARANDIRU
