primaryindex,emt_situac,emt_linha,emt_empres,emt_nome,Longitude,Latitude
1,OPERANDO,AZUL,METRO,SE,-46.6330881600256,-23.5510004107585
2,OPERANDO,VERMELHA,METRO,CORINTHIANS-ITAQUERA,-46.4710777200253,-23.5423052517728
3,OPERANDO,VERMELHA,METRO,ARTUR_ALVIM,-46.4845899600253,-23.5402883890942
4,OPERANDO,VERMELHA,METRO,PATRIARCA,-46.5013818000254,-23.531182748673
5,OPERANDO,VERMELHA,METRO,GUILHERMINA-ESPERANCA,-46.5165482400254,-23.5292629205976
6,OPERANDO,VERMELHA,METRO,VILA_MATILDE,-46.5310054800254,-23.5318773653745
7,OPERANDO,VERMELHA,METRO,PENHA,-46.5423490800254,-23.5334812904761
8,OPERANDO,VERMELHA,METRO,CARRAO,-46.5641553600255,-23.5378510166339
9,OPERANDO,VERMELHA,METRO,TATUAPE,-46.5762844800255,-23.5404398776451
10,OPERANDO,VERMELHA,METRO,BELEM,-46.5901077600255,-23.5430225820725
11,OPERANDO,VERMELHA,METRO,BRESSER-MOOCA,-46.6075400400256,-23.5464763398491
12,OPERANDO,VERMELHA,METRO,BRAS,-46.6159089600256,-23.5478843842948
13,OPERANDO,VERMELHA,METRO,PEDRO_II,-46.6259094000256,-23.5497154960644
14,OPERANDO,VERMELHA,METRO,SE,-46.6331346000256,-23.5509213724491
15,OPERANDO,VERMELHA,METRO,ANHANGABAU,-46.6388856000256,-23.5479475834047
16,OPERANDO,VERMELHA,METRO,REPUBLICA,-46.6431490800257,-23.5438938682709
17,OPERANDO,VERMELHA,METRO,SANTA_CECILIA,-46.6488795600257,-23.5396380424718
18,OPERANDO,VERMELHA,METRO,MARECHAL_DEODORO,-46.6560266400257,-23.5335182569316
19,OPERANDO,VERMELHA,METRO,PALMEIRAS-BARRA_FUNDA,-46.6673727600257,-23.5259476731536
20,OPERANDO,VERDE,METRO,VILA_MADALENA,-46.6908548400258,-23.5463906983139
21,OPERANDO,VERDE,METRO,SANTUARIO_NOSSA_SENHORA_DE_FATIMA-SUMARE,-46.6775384400258,-23.551016251416
22,OPERANDO,VERDE,METRO,CLINICAS,-46.6707621600257,-23.5541110832647
23,OPERANDO,VERDE,METRO,CONSOLACAO,-46.6611922800257,-23.5572279521142
24,OPERANDO,VERDE,METRO,TRIANON-MASP,-46.6544160000257,-23.5631613486707
25,OPERANDO,VERDE,METRO,BRIGADEIRO,-46.6473538800257,-23.5688799977096
26,OPERANDO,VERDE,METRO,PARAISO,-46.6410556800257,-23.5757680810685
27,OPERANDO,VERDE,METRO,ANA_ROSA,-46.6386274800257,-23.5813550310682
28,OPERANDO,VERDE,METRO,CHACARA_KLABIN,-46.6304864400256,-23.5926318091559
29,OPERANDO,VERDE,METRO,SANTOS-IMIGRANTES,-46.6207002000256,-23.5959376217831
30,OPERANDO,VERDE,METRO,ALTO_DO_IPIRANGA,-46.6123701600256,-23.6021945360708
31,OPERANDO,VERDE,METRO,SACOMA,-46.6031721600256,-23.6014148504086
32,OPERANDO,VERDE,METRO,TAMANDUATEI,-46.5895746000255,-23.5929384593193
33,OPERANDO,VERDE,METRO,VILA_PRUDENTE,-46.5819062400255,-23.5843259193582
34,OPERANDO,AZUL,METRO,VILA_MARIANA,-46.6346509200256,-23.5891075077065
35,OPERANDO,AZUL,METRO,TUCURUVI,-46.6031505600256,-23.4799804490933
36,OPERANDO,AZUL,METRO,PARADA_INGLESA,-46.6088209200256,-23.4870326613261
37,OPERANDO,AZUL,METRO,AYRTON_SENNA-JARDIM_SAO_PAULO,-46.6171095600256,-23.4924165354707
38,OPERANDO,AZUL,METRO,SANTANA,-46.6247728800256,-23.5025689137785
39,OPERANDO,AZUL,METRO,CARANDIRU,-46.6249626000256,-23.5092756045208
40,OPERANDO,AZUL,METRO,PORTUGUESA-TIETE,-46.6251613200256,-23.5161313246594
